0.23,0.231,0.231,0.23,0.232,0.228,0.232,0.23,0.228,0.228,0.229,0.233,0.23,0.232,0.232,0.228,0.225,0.229,0.229,0.226,0.226,0.226,0.229,0.23,0.231,0.233,0.226,0.233,0.226,0.232,0.233,0.232,0.231,0.228,0.227,0.228,0.227,0.23,0.228,0.231,0.227,0.231,0.228,0.229,0.229,0.227,0.23,0.229,0.228,0.231,0.229,0.229,0.223,0.227,0.223,0.231,0.223,0.226,0.231,0.23,0.229,0.231,0.23,0.229,0.227,0.225,0.229,0.23,0.229,0.228,0.231,0.231,0.229,0.232,0.229,0.228,0.229,0.228,0.225,0.228,0.227,0.233,0.23,0.227,0.231,0.227,0.228,0.228,0.225,0.226,0.229,0.231,0.233,0.236,0.23,0.232,0.23,0.236,0.23,0.235,0.228,0.231,0.226,0.23,0.23,0.233,0.228,0.235,0.232,0.233,0.232,0.229,0.232,0.227,0.229,0.23,0.231,0.228,0.232,0.227,0.229,0.235,0.233,0.228,0.227,0.229,0.23,0.236,0.226,0.227,0.229,0.227,0.234,0.228,0.23,0.229,0.229,0.229,0.23,0.229,0.229,0.233,0.23,0.227,0.229,0.228,0.227,0.231,0.233,0.232,0.23,0.226,0.226,0.229,0.23,0.228,0.232,0.231,0.226,0.229,0.226,0.227,0.23,0.231,0.23,0.23,0.23,0.23,0.229,0.228,0.229,0.232,0.226,0.231,0.229,0.227,0.228,0.23,0.229,0.229,0.228,0.231,0.226,0.229,0.23,0.231,0.229,0.228,0.227,0.229,0.23,0.229,0.23,0.227,0.234,0.23,0.226,0.228
0.232,0.23,0.23,0.23,0.231,0.231,0.232,0.23,0.228,0.228,0.229,0.233,0.23,0.233,0.232,0.228,0.227,0.23,0.227,0.228,0.231,0.228,0.229,0.226,0.231,0.228,0.226,0.233,0.226,0.232,0.233,0.228,0.226,0.228,0.227,0.228,0.228,0.231,0.228,0.233,0.227,0.229,0.225,0.229,0.229,0.228,0.229,0.229,0.228,0.226,0.228,0.23,0.23,0.229,0.223,0.226,0.223,0.227,0.231,0.227,0.228,0.231,0.234,0.231,0.227,0.225,0.231,0.231,0.229,0.23,0.231,0.231,0.232,0.232,0.229,0.228,0.229,0.233,0.23,0.226,0.227,0.233,0.23,0.23,0.231,0.227,0.228,0.228,0.225,0.226,0.229,0.23,0.233,0.236,0.23,0.232,0.23,0.231,0.23,0.235,0.23,0.231,0.226,0.23,0.233,0.233,0.228,0.235,0.232,0.233,0.232,0.229,0.232,0.228,0.23,0.23,0.231,0.227,0.232,0.226,0.227,0.233,0.233,0.228,0.228,0.229,0.23,0.234,0.225,0.231,0.231,0.231,0.234,0.228,0.228,0.231,0.23,0.229,0.229,0.229,0.229,0.232,0.23,0.231,0.228,0.228,0.227,0.23,0.231,0.232,0.23,0.226,0.226,0.229,0.232,0.229,0.232,0.231,0.231,0.229,0.227,0.225,0.233,0.234,0.231,0.228,0.23,0.232,0.228,0.228,0.229,0.232,0.227,0.232,0.228,0.227,0.23,0.231,0.232,0.23,0.227,0.231,0.226,0.23,0.228,0.229,0.229,0.229,0.229,0.23,0.229,0.229,0.231,0.23,0.234,0.228,0.226,0.231
0.232,0.23,0.229,0.23,0.231,0.231,0.232,0.23,0.228,0.228,0.229,0.233,0.23,0.236,0.23,0.228,0.229,0.23,0.228,0.228,0.231,0.231,0.227,0.229,0.231,0.228,0.226,0.23,0.227,0.232,0.233,0.23,0.226,0.227,0.23,0.23,0.227,0.231,0.228,0.233,0.227,0.231,0.225,0.23,0.231,0.229,0.227,0.23,0.228,0.226,0.227,0.23,0.23,0.23,0.223,0.226,0.228,0.234,0.231,0.228,0.228,0.232,0.234,0.232,0.227,0.228,0.232,0.231,0.229,0.231,0.231,0.231,0.232,0.232,0.23,0.228,0.226,0.233,0.23,0.225,0.235,0.231,0.23,0.231,0.231,0.227,0.228,0.228,0.227,0.226,0.229,0.23,0.233,0.234,0.231,0.23,0.23,0.238,0.23,0.236,0.23,0.231,0.226,0.23,0.233,0.233,0.23,0.236,0.232,0.229,0.232,0.229,0.232,0.229,0.231,0.23,0.231,0.224,0.232,0.226,0.229,0.233,0.235,0.229,0.234,0.229,0.235,0.23,0.225,0.231,0.229,0.231,0.228,0.229,0.23,0.231,0.23,0.229,0.229,0.23,0.226,0.232,0.23,0.231,0.227,0.229,0.228,0.228,0.23,0.23,0.233,0.226,0.226,0.229,0.232,0.235,0.229,0.233,0.226,0.229,0.227,0.227,0.233,0.235,0.231,0.23,0.23,0.233,0.228,0.23,0.229,0.233,0.227,0.229,0.228,0.227,0.228,0.236,0.232,0.23,0.227,0.225,0.225,0.232,0.231,0.229,0.226,0.23,0.23,0.23,0.23,0.229,0.222,0.232,0.234,0.228,0.228,0.231
0.23,0.229,0.23,0.229,0.229,0.231,0.232,0.231,0.228,0.228,0.231,0.233,0.233,0.236,0.234,0.229,0.229,0.23,0.229,0.228,0.231,0.231,0.227,0.229,0.23,0.228,0.226,0.23,0.226,0.232,0.23,0.23,0.226,0.232,0.231,0.233,0.228,0.231,0.226,0.233,0.228,0.228,0.224,0.23,0.23,0.229,0.227,0.231,0.228,0.227,0.227,0.23,0.23,0.23,0.232,0.226,0.229,0.234,0.231,0.232,0.225,0.232,0.23,0.232,0.227,0.232,0.231,0.231,0.229,0.231,0.231,0.229,0.229,0.232,0.23,0.229,0.227,0.233,0.23,0.226,0.227,0.233,0.23,0.231,0.233,0.227,0.233,0.229,0.227,0.226,0.226,0.23,0.233,0.234,0.231,0.23,0.234,0.238,0.227,0.236,0.231,0.231,0.227,0.229,0.234,0.233,0.23,0.236,0.231,0.229,0.232,0.229,0.229,0.228,0.231,0.23,0.23,0.224,0.233,0.226,0.227,0.231,0.235,0.229,0.234,0.23,0.235,0.229,0.226,0.231,0.228,0.231,0.227,0.231,0.228,0.231,0.23,0.229,0.229,0.23,0.226,0.228,0.227,0.231,0.227,0.229,0.227,0.23,0.233,0.228,0.233,0.226,0.227,0.229,0.232,0.235,0.23,0.23,0.229,0.229,0.227,0.227,0.23,0.235,0.231,0.227,0.23,0.233,0.228,0.23,0.229,0.233,0.227,0.229,0.228,0.228,0.228,0.236,0.232,0.231,0.227,0.225,0.226,0.232,0.231,0.231,0.226,0.23,0.232,0.229,0.23,0.229,0.231,0.232,0.236,0.228,0.228,0.231
0.231,0.229,0.229,0.23,0.231,0.231,0.232,0.231,0.23,0.225,0.229,0.233,0.23,0.236,0.234,0.228,0.229,0.23,0.228,0.229,0.231,0.231,0.227,0.226,0.229,0.224,0.227,0.229,0.227,0.23,0.229,0.228,0.225,0.23,0.226,0.232,0.229,0.232,0.226,0.229,0.227,0.228,0.23,0.229,0.23,0.229,0.229,0.231,0.228,0.233,0.227,0.23,0.231,0.229,0.226,0.226,0.229,0.227,0.229,0.228,0.225,0.231,0.229,0.232,0.227,0.228,0.231,0.228,0.23,0.231,0.23,0.228,0.226,0.229,0.229,0.229,0.227,0.233,0.231,0.225,0.225,0.231,0.229,0.23,0.23,0.227,0.228,0.228,0.23,0.227,0.224,0.23,0.233,0.234,0.231,0.23,0.23,0.233,0.23,0.234,0.23,0.228,0.227,0.229,0.233,0.231,0.232,0.234,0.23,0.226,0.232,0.228,0.229,0.226,0.231,0.231,0.23,0.224,0.233,0.226,0.225,0.231,0.235,0.229,0.235,0.226,0.235,0.228,0.225,0.23,0.228,0.231,0.225,0.229,0.228,0.228,0.23,0.228,0.229,0.23,0.226,0.228,0.23,0.231,0.226,0.229,0.228,0.23,0.23,0.227,0.231,0.227,0.228,0.229,0.232,0.233,0.229,0.229,0.229,0.229,0.228,0.226,0.23,0.231,0.231,0.23,0.23,0.232,0.23,0.232,0.229,0.227,0.227,0.226,0.226,0.228,0.228,0.231,0.231,0.231,0.227,0.225,0.225,0.231,0.231,0.229,0.226,0.23,0.23,0.229,0.23,0.229,0.229,0.23,0.234,0.226,0.226,0.231
0.23,0.229,0.226,0.228,0.229,0.231,0.232,0.231,0.23,0.225,0.229,0.231,0.234,0.23,0.231,0.227,0.228,0.23,0.226,0.229,0.231,0.231,0.226,0.226,0.228,0.224,0.227,0.226,0.227,0.229,0.229,0.227,0.225,0.227,0.23,0.232,0.228,0.232,0.225,0.226,0.226,0.228,0.224,0.228,0.23,0.228,0.227,0.232,0.228,0.23,0.228,0.23,0.228,0.227,0.23,0.226,0.229,0.227,0.229,0.227,0.225,0.231,0.229,0.23,0.227,0.225,0.23,0.226,0.229,0.229,0.229,0.223,0.224,0.229,0.227,0.227,0.226,0.231,0.231,0.225,0.225,0.227,0.227,0.23,0.228,0.228,0.228,0.228,0.227,0.227,0.224,0.23,0.233,0.231,0.231,0.23,0.224,0.233,0.227,0.23,0.23,0.231,0.226,0.229,0.227,0.231,0.232,0.232,0.229,0.224,0.229,0.225,0.229,0.226,0.231,0.231,0.229,0.224,0.231,0.228,0.225,0.227,0.234,0.229,0.235,0.225,0.229,0.228,0.226,0.228,0.228,0.23,0.225,0.229,0.227,0.228,0.231,0.229,0.229,0.228,0.231,0.228,0.232,0.231,0.227,0.229,0.228,0.232,0.229,0.225,0.231,0.228,0.23,0.229,0.232,0.234,0.226,0.228,0.229,0.231,0.228,0.225,0.23,0.231,0.231,0.23,0.228,0.23,0.227,0.23,0.229,0.225,0.226,0.226,0.226,0.23,0.228,0.23,0.231,0.232,0.226,0.227,0.225,0.232,0.228,0.227,0.229,0.23,0.23,0.229,0.23,0.227,0.229,0.232,0.231,0.225,0.226,0.231
0.23,0.229,0.229,0.228,0.227,0.227,0.231,0.231,0.225,0.225,0.229,0.227,0.234,0.228,0.228,0.228,0.225,0.227,0.226,0.225,0.225,0.231,0.227,0.225,0.227,0.224,0.23,0.225,0.231,0.228,0.229,0.228,0.229,0.227,0.23,0.233,0.225,0.232,0.226,0.226,0.228,0.227,0.23,0.229,0.23,0.223,0.227,0.232,0.227,0.23,0.227,0.23,0.228,0.226,0.23,0.225,0.229,0.227,0.227,0.227,0.227,0.23,0.229,0.228,0.227,0.228,0.226,0.226,0.229,0.229,0.225,0.222,0.224,0.229,0.229,0.227,0.227,0.23,0.231,0.225,0.232,0.227,0.227,0.23,0.228,0.225,0.228,0.228,0.227,0.227,0.224,0.228,0.233,0.224,0.227,0.23,0.224,0.233,0.227,0.229,0.228,0.228,0.226,0.229,0.226,0.232,0.227,0.232,0.229,0.225,0.232,0.225,0.229,0.224,0.227,0.231,0.229,0.224,0.228,0.228,0.231,0.224,0.233,0.229,0.232,0.224,0.229,0.228,0.231,0.226,0.226,0.228,0.225,0.229,0.229,0.228,0.231,0.228,0.229,0.23,0.231,0.228,0.232,0.228,0.226,0.231,0.229,0.232,0.229,0.227,0.229,0.23,0.231,0.229,0.232,0.233,0.224,0.229,0.227,0.231,0.228,0.226,0.23,0.228,0.227,0.23,0.228,0.227,0.224,0.229,0.229,0.227,0.225,0.226,0.225,0.228,0.228,0.229,0.23,0.232,0.228,0.225,0.227,0.231,0.232,0.226,0.229,0.229,0.23,0.229,0.23,0.227,0.226,0.229,0.231,0.226,0.226,0.223
0.23,0.229,0.23,0.224,0.227,0.227,0.227,0.229,0.227,0.225,0.23,0.227,0.229,0.227,0.231,0.228,0.225,0.23,0.226,0.225,0.225,0.231,0.227,0.218,0.225,0.224,0.23,0.226,0.222,0.228,0.225,0.227,0.225,0.224,0.23,0.232,0.225,0.232,0.226,0.224,0.228,0.227,0.224,0.228,0.229,0.223,0.229,0.231,0.227,0.23,0.228,0.228,0.228,0.226,0.23,0.225,0.229,0.225,0.227,0.227,0.227,0.23,0.228,0.228,0.227,0.229,0.225,0.226,0.227,0.229,0.229,0.222,0.224,0.229,0.227,0.227,0.227,0.23,0.231,0.224,0.225,0.223,0.223,0.229,0.23,0.226,0.228,0.229,0.227,0.227,0.224,0.232,0.231,0.224,0.227,0.228,0.228,0.233,0.227,0.229,0.226,0.228,0.228,0.231,0.227,0.232,0.227,0.231,0.229,0.225,0.232,0.225,0.227,0.224,0.227,0.231,0.23,0.224,0.231,0.231,0.225,0.227,0.226,0.229,0.23,0.224,0.229,0.228,0.232,0.225,0.226,0.23,0.226,0.229,0.227,0.226,0.232,0.228,0.229,0.228,0.231,0.229,0.232,0.223,0.227,0.228,0.229,0.232,0.228,0.225,0.228,0.23,0.231,0.226,0.23,0.232,0.226,0.228,0.229,0.227,0.228,0.226,0.231,0.227,0.227,0.228,0.228,0.226,0.224,0.229,0.229,0.227,0.226,0.226,0.225,0.23,0.228,0.228,0.23,0.23,0.228,0.227,0.229,0.229,0.225,0.226,0.229,0.226,0.226,0.227,0.229,0.227,0.229,0.229,0.23,0.225,0.226,0.223
0.228,0.226,0.226,0.232,0.229,0.231,0.227,0.226,0.227,0.225,0.23,0.228,0.225,0.227,0.228,0.227,0.227,0.227,0.226,0.225,0.227,0.233,0.227,0.218,0.224,0.225,0.227,0.226,0.226,0.228,0.223,0.227,0.225,0.224,0.23,0.229,0.225,0.231,0.225,0.224,0.225,0.227,0.229,0.227,0.228,0.223,0.227,0.231,0.227,0.224,0.228,0.228,0.228,0.226,0.23,0.224,0.228,0.223,0.227,0.227,0.23,0.229,0.229,0.227,0.227,0.226,0.225,0.228,0.225,0.228,0.229,0.223,0.227,0.227,0.229,0.227,0.226,0.229,0.231,0.224,0.224,0.223,0.223,0.223,0.228,0.226,0.228,0.23,0.223,0.222,0.224,0.232,0.231,0.223,0.228,0.227,0.228,0.233,0.226,0.229,0.226,0.228,0.228,0.231,0.225,0.232,0.228,0.232,0.229,0.225,0.232,0.225,0.227,0.225,0.229,0.228,0.23,0.228,0.228,0.228,0.226,0.227,0.231,0.229,0.23,0.224,0.229,0.225,0.232,0.225,0.221,0.229,0.226,0.229,0.226,0.226,0.232,0.228,0.227,0.228,0.231,0.229,0.232,0.221,0.227,0.228,0.229,0.228,0.228,0.226,0.225,0.231,0.23,0.226,0.23,0.231,0.226,0.229,0.227,0.225,0.228,0.226,0.231,0.225,0.227,0.228,0.227,0.226,0.227,0.229,0.229,0.225,0.226,0.224,0.223,0.232,0.228,0.227,0.23,0.225,0.228,0.228,0.229,0.228,0.225,0.226,0.229,0.226,0.225,0.227,0.228,0.227,0.226,0.227,0.23,0.225,0.231,0.229
0.228,0.226,0.23,0.22,0.227,0.231,0.226,0.226,0.223,0.23,0.23,0.229,0.229,0.228,0.228,0.227,0.227,0.225,0.225,0.225,0.227,0.233,0.227,0.217,0.223,0.228,0.229,0.229,0.226,0.226,0.225,0.227,0.228,0.224,0.23,0.227,0.224,0.231,0.226,0.226,0.228,0.225,0.229,0.228,0.225,0.223,0.221,0.231,0.228,0.224,0.228,0.224,0.223,0.227,0.23,0.225,0.228,0.223,0.227,0.227,0.229,0.23,0.229,0.227,0.226,0.226,0.226,0.228,0.225,0.226,0.225,0.225,0.227,0.227,0.226,0.227,0.226,0.229,0.23,0.222,0.232,0.223,0.223,0.223,0.228,0.228,0.228,0.23,0.223,0.222,0.229,0.231,0.231,0.223,0.226,0.225,0.228,0.235,0.226,0.229,0.228,0.229,0.228,0.231,0.227,0.232,0.227,0.231,0.229,0.227,0.231,0.225,0.227,0.225,0.226,0.226,0.23,0.228,0.228,0.228,0.231,0.224,0.229,0.229,0.229,0.224,0.229,0.224,0.232,0.226,0.221,0.229,0.228,0.229,0.223,0.226,0.232,0.228,0.226,0.228,0.231,0.229,0.233,0.221,0.227,0.226,0.229,0.228,0.228,0.226,0.225,0.229,0.231,0.226,0.23,0.227,0.226,0.228,0.227,0.224,0.229,0.226,0.231,0.225,0.227,0.225,0.228,0.226,0.222,0.229,0.225,0.227,0.225,0.223,0.227,0.232,0.228,0.227,0.23,0.225,0.228,0.229,0.231,0.228,0.224,0.223,0.229,0.222,0.225,0.227,0.228,0.227,0.226,0.227,0.225,0.225,0.231,0.223
